face_type_id,gender,cluster_id,member_id,alias_id,label,group_name,member_name,image_count,confidence,x,y
M06,M,8,ikon__jay,ikon__jay,아이콘 제이,iKON,Jay,5,0.6981,-0.0613,0.0972
M04,M,2,ikon__june,ikon__june,아이콘 준회,iKON,Ju-ne,12,0.6455,-0.1550,0.0403
M01,M,5,onf__e_tion,onf__e_tion,온앤오프 이션,ONF,E-Tion,12,0.5419,0.3088,-0.0235
M04,M,2,onf__hyojin,onf__hyojin,온앤오프 효진,ONF,Hyojin,11,0.6391,-0.0386,-0.1513
M05,M,1,onf__j_us,onf__j_us,온앤오프 승준,ONF,J-Us,7,0.5639,0.0816,-0.0112
M11,M,9,onf__laun,onf__laun,온앤오프 라운,ONF,Laun,12,0.5698,-0.1664,0.0113
M02,M,3,onf__mk,onf__mk,온앤오프 민균,ONF,MK,9,0.6410,-0.0120,-0.1024
M08,M,6,onf__wyatt,onf__wyatt,온앤오프 와이엇,ONF,Wyatt,9,0.5753,0.0716,0.1063
M03,M,4,pentagon__hongseok,pentagon__hongseok,펜타곤 홍석,Pentagon,Hongseok,12,0.6758,0.1940,-0.1456
M03,M,4,pentagon__hui,pentagon__hui,펜타곤 후이,Pentagon,Hui,15,0.5944,0.2664,0.0905
M05,M,1,pentagon__jinho,pentagon__jinho,펜타곤 진호,Pentagon,Jinho,11,0.5822,0.1520,-0.0203
M03,M,4,pentagon__kino,pentagon__kino,펜타곤 키노,Pentagon,Kino,11,0.5756,0.1102,-0.1413
M03,M,4,pentagon__shinwon,pentagon__shinwon,펜타곤 신원,Pentagon,Shinwon,13,0.6149,0.0664,0.1853
M03,M,4,pentagon__wooseok,pentagon__wooseok,펜타곤 우석,Pentagon,Wooseok,11,0.5897,-0.0104,-0.1581
M06,M,8,pentagon__yanan,pentagon__yanan,펜타곤 옌안,Pentagon,Yanan,12,0.6682,-0.0385,-0.0161
M06,M,8,pentagon__yeo_one,pentagon__yeo_one,펜타곤 여원,Pentagon,Yeo One,8,0.6281,0.0111,-0.1320
M08,M,6,pentagon__yuto,pentagon__yuto,펜타곤 유토,Pentagon,Yuto,8,0.6230,0.0011,0.0695
M06,M,8,sf9__chani,sf9__chani,SF9 찬희,SF9,Chani,11,0.6970,0.0848,-0.1758
M08,M,6,sf9__dawon,sf9__dawon,SF9 다원,SF9,Dawon,13,0.6731,-0.0316,0.0861
